,Label,Parameter,Treatment,Value,Significant,Time,Significance
1,Dark1,AV,Control,0,NS,96 h,p>0.05
2,Dark1,CF,Control,0,NS,96 h,p>0.05
3,Dark1,CD,Control,0,NS,96 h,p>0.05
4,Dark1,FD,Control,0,NS,96 h,p>0.05
5,Dark1,FF,Control,0,NS,96 h,p>0.05
6,Dark1,TD,Control,0,NS,96 h,p>0.05
7,Dark1,TA,Control,0,NS,96 h,p>0.05
8,Dark1,V,Control,0,NS,96 h,p>0.05
9,Dark2,AV,Control,0,NS,96 h,p>0.05
10,Dark2,CF,Control,0,NS,96 h,p>0.05
11,Dark2,CD,Control,0,NS,96 h,p>0.05
12,Dark2,FD,Control,0,NS,96 h,p>0.05
13,Dark2,FF,Control,0,NS,96 h,p>0.05
14,Dark2,TD,Control,0,NS,96 h,p>0.05
15,Dark2,TA,Control,0,NS,96 h,p>0.05
16,Dark2,V,Control,0,NS,96 h,p>0.05
17,Dark3,AV,Control,0,NS,96 h,p>0.05
18,Dark3,CF,Control,0,NS,96 h,p>0.05
19,Dark3,CD,Control,0,NS,96 h,p>0.05
20,Dark3,FD,Control,0,NS,96 h,p>0.05
21,Dark3,FF,Control,0,NS,96 h,p>0.05
22,Dark3,TD,Control,0,NS,96 h,p>0.05
23,Dark3,TA,Control,0,NS,96 h,p>0.05
24,Dark3,V,Control,0,NS,96 h,p>0.05
25,Light1,AV,Control,0,NS,96 h,p>0.05
26,Light1,CF,Control,0,NS,96 h,p>0.05
27,Light1,CD,Control,0,NS,96 h,p>0.05
28,Light1,FD,Control,0,NS,96 h,p>0.05
29,Light1,FF,Control,0,NS,96 h,p>0.05
30,Light1,TD,Control,0,NS,96 h,p>0.05
31,Light1,TA,Control,0,NS,96 h,p>0.05
32,Light1,V,Control,0,NS,96 h,p>0.05
33,Light2,AV,Control,0,NS,96 h,p>0.05
34,Light2,CF,Control,0,NS,96 h,p>0.05
35,Light2,CD,Control,0,NS,96 h,p>0.05
36,Light2,FD,Control,0,NS,96 h,p>0.05
37,Light2,FF,Control,0,NS,96 h,p>0.05
38,Light2,TD,Control,0,NS,96 h,p>0.05
39,Light2,TA,Control,0,NS,96 h,p>0.05
40,Light2,V,Control,0,NS,96 h,p>0.05
41,Dark1,AV,T1,-0.04511911,NS,96 h,p>0.05
42,Dark1,CF,T1,0.33188704,NS,96 h,p>0.05
43,Dark1,CD,T1,0.397445242,NS,96 h,p>0.05
44,Dark1,FD,T1,-0.407222448,NS,96 h,p>0.05
