				Velocity Center-point Mean mm/s	Cruising Frequency	Cruising Cumulative Duration s	Bursting Frequency	Bursting Cumulative Duration s	Freezing  Frequency	Freezing  Cumulative Duration s	Turn angle Center-point / relative Mean deg	Meander Center-point / relative Mean deg/mm	Angular velocity Center-point / relative Mean deg/s	Distance moved Center-point Total mm
Control	Trial     2	A4	0:00:00-0:01:00	3.38257	94	10.48	0	0	95	49.28	-0.113821	-704.244	-2.84552	202.143
Control	Trial     2	A4	0:01:00-0:02:00	2.53451	106	8.32	0	0	106	51.68	-4.15123	-230.408	-103.781	152.07
Control	Trial     2	A4	0:02:00-0:03:00	4.87704	102	14.4	0	0	103	45.6	-0.598541	-43.9158	-14.9635	292.622
Control	Trial     2	A4	0:03:00-0:04:00	5.85519	122	18.28	0	0	122	41.64	0.338107	-277.988	8.45268	350.843
Control	Trial     2	A4	0:04:00-0:05:00	4.26393	97	13.16	0	0	98	46.84	3.68024	95.5134	92.0059	255.836
Control	Trial     2	A4	0:05:00-0:06:00	6.25384	139	20.12	0	0	140	39.88	-0.441633	89.2469	-11.0408	375.231
Control	Trial     2	A4	0:06:00-0:07:00	6.62033	134	20.64	0	0	136	39.28	1.32169	-86.9812	33.0423	396.69
Control	Trial     2	A4	0:07:00-0:08:00	1.70425	53	3.76	0	0	54	56.24	0.336697	215.267	8.41741	102.255
Control	Trial     2	A4	0:08:00-0:09:00	2.07206	83	5.96	0	0	84	53.96	-1.25413	-206.585	-31.3532	124.158
Control	Trial     2	A4	0:09:00-0:10:00	5.23454	117	16.44	0	0	118	43.56	-1.10874	129.908	-27.7185	314.072
Control	Trial     2	A4	0:10:00-0:11:00	5.74197	106	14.32	0	0	107	45.68	-0.943688	113.374	-23.5922	344.518
Control	Trial     2	A4	0:11:00-0:12:00	2.4973	98	7.48	0	0	100	52.44	0.0515395	68.2976	1.28849	149.638
Control	Trial     2	A4	0:12:00-0:13:00	5.05765	162	15.72	0	0	163	44.28	-5.29019	-155.362	-132.255	303.459
Control	Trial     2	A4	0:13:00-0:14:00	6.94398	172	23.24	0	0	172	36.76	-3.86119	-96.1289	-96.5297	416.639
Control	Trial     2	A4	0:14:00-0:15:00	7.47441	215	25.56	0	0	214	34.36	-4.35945	-43.3896	-108.986	447.867
Control	Trial     2	A4	0:15:00-0:16:00	8.04496	215	29.12	0	0	214	30.88	-3.3635	-7.07092	-84.0874	482.697
Control	Trial     2	A4	0:16:00-0:17:00	8.84155	194	29.68	0	0	194	30.24	-3.19274	53.3797	-79.8185	529.786
Control	Trial     2	A4	0:17:00-0:18:00	7.23946	217	26.72	0	0	218	33.28	-2.97108	-41.1396	-74.2769	434.367
Control	Trial     2	A4	0:18:00-0:19:00	5.46288	192	20.2	0	0	192	39.8	-0.239112	23.2859	-5.9778	327.773
Control	Trial     2	A4	0:19:00-0:20:00	5.05355	208	19.68	0	0	207	40.24	0.308795	-14.3981	7.71987	302.809
Control	Trial     2	A4	0:20:00-0:21:00	5.29425	103	15.24	0	0	102	44.76	0.45293	-98.1359	11.3232	317.655
Control	Trial     2	A4	0:21:00-0:22:00	8.23266	92	19.8	0	0	92	40.2	4.81874	390.147	120.469	493.959
Control	Trial     2	A4	0:22:00-0:23:00	1.40504	52	3.28	0	0	54	56.64	-5.4275	-453.525	-135.688	84.1901
Control	Trial     2	A4	0:23:00-0:24:00	2.75417	101	9.2	0	0	102	50.8	-2.81303	-46.795	-70.3257	165.25
Control	Trial     2	A4	0:24:00-0:25:00	8.27599	159	25.6	0	0	158	34.32	-0.702071	-280.097	-17.5518	495.897
Control	Trial     2	A4	0:25:00-0:26:00	6.38816	161	20.68	0	0	160	39.32	-0.298292	-18.0889	-7.4573	383.29
Control	Trial     2	A4	0:26:00-0:27:00	7.14129	155	21.64	0	0	155	38.36	-2.89727	9.52619	-72.4318	428.477
Control	Trial     2	A4	0:27:00-0:28:00	2.5466	99	8.52	0	0	101	51.4	2.43177	395.221	60.7942	152.592
Control	Trial     2	A4	0:28:00-0:29:00	3.29562	105	11.04	0	0	105	48.96	3.27615	178.393	81.9037	197.737
Control	Trial     2	A4	0:29:00-0:30:00	7.28813	155	23.08	0	0	154	36.92	-2.43069	-185.15	-60.7673	437.288
Control	Trial     2	A4	0:30:00-0:31:00	6.79408	167	20.92	0	0	167	39	-2.35699	-72.0831	-58.9247	407.101
Control	Trial     2	A4	0:31:00-0:32:00	8.61925	176	26.84	0	0	175	33.16	-3.01565	-32.4162	-75.3913	517.155
Control	Trial     2	A4	0:32:00-0:33:00	8.12445	188	26	0	0	187	33.92	-3.79436	-27.2892	-94.859	486.817
Control	Trial     2	A4	0:33:00-0:34:00	8.3106	196	28.88	0	0	195	31.12	0.230815	-48.6305	5.77036	498.636
Control	Trial     2	A4	0:34:00-0:35:00	8.92069	205	30.48	0	0	204	29.52	4.02616	-59.5569	100.654	535.241
Control	Trial     2	A4	0:35:00-0:36:00	9.24374	196	32.2	0	0	196	27.72	4.37492	92.3432	109.373	553.885
Control	Trial     2	A4	0:36:00-0:37:00	8.69293	209	29.92	0	0	208	30.08	2.46601	124.225	61.6503	521.576
Control	Trial     2	A4	0:37:00-0:38:00	9.85056	200	32.16	0	0	199	27.84	4.41028	51.6843	110.257	591.034
Control	Trial     2	A4	0:38:00-0:39:00	9.21662	217	31.36	0	0	216	28.56	2.49252	65.9721	62.3131	552.26
Control	Trial     2	A4	0:39:00-0:40:00	8.79036	203	29.4	0	0	203	30.6	2.26905	76.2575	56.7263	527.422
Control	Trial     2	A4	0:40:00-0:41:00	6.73996	125	20.24	0	0	124	39.68	1.17299	174.096	29.3247	403.859
Control	Trial     2	A4	0:41:00-0:42:00	5.83758	84	15.6	0	0	85	44.4	-0.53028	450.965	-13.257	350.255
Control	Trial     2	A4	0:42:00-0:43:00	7.69902	141	23.72	0	0	141	36.28	-1.07237	13.3799	-26.8093	461.941
Control	Trial     2	A4	0:43:00-0:44:00	9.04909	142	27.56	0	0	143	32.36	1.54828	197.626	38.707	542.222
Control	Trial     2	A4	0:44:00-0:45:00	7.65479	132	23.52	0	0	133	36.48	-1.24647	394.902	-31.1617	459.288
Control	Trial     2	A4	0:45:00-0:46:00	7.71401	156	22.4	0	0	156	37.6	1.45838	12.3906	36.4596	462.84
Control	Trial     2	A4	0:46:00-0:47:00	7.82852	167	23.96	0	0	166	35.96	-1.94829	46.3835	-48.7072	469.085
Control	Trial     2	A4	0:47:00-0:48:00	7.20888	145	22.4	0	0	145	37.6	0.0320328	133.554	0.800819	432.533
Control	Trial     2	A4	0:48:00-0:49:00	7.30623	144	22.12	0	0	144	37.8	0.0791822	-49.3916	1.97955	437.789
Control	Trial     2	A4	0:49:00-0:50:00	8.57474	156	25.48	0	0	156	34.52	0.54824	53.3238	13.706	514.484
Control	Trial     2	B2	0:00:00-0:01:00	1.19006	26	1.68	0	0	28	58.08	-1.7737	287.609	-44.3426	71.1179
Control	Trial     2	B2	0:01:00-0:02:00	2.30473	116	9.4	0	0	117	50.6	-2.54695	-205.519	-63.6737	138.284
Control	Trial     2	B2	0:02:00-0:03:00	2.52885	115	9.44	0	0	115	50.56	-2.26037	111.823	-56.5092	151.731
Control	Trial     2	B2	0:03:00-0:04:00	3.99791	170	15.68	0	0	172	44.24	-1.74121	-28.627	-43.5301	239.555
Control	Trial     2	B2	0:04:00-0:05:00	4.723	137	16.68	0	0	138	43.32	1.73253	548.192	43.3132	283.38
Control	Trial     2	B2	0:05:00-0:06:00	2.96641	89	9.28	0	0	89	50.72	-1.71602	-39.9221	-42.9005	177.985
Control	Trial     2	B2	0:06:00-0:07:00	4.05014	122	13.8	0	0	122	46.12	4.49612	274.316	112.403	242.685
Control	Trial     2	B2	0:07:00-0:08:00	3.46833	164	12.88	0	0	165	47.12	-3.06543	-227.896	-76.6356	208.1
Control	Trial     2	B2	0:08:00-0:09:00	3.09798	149	11.68	0	0	149	48.24	-0.350321	-0.0542318	-8.75803	185.631
Control	Trial     2	B2	0:09:00-0:10:00	2.58743	129	9.2	0	0	129	50.8	-2.46947	-329.169	-61.7368	155.246
Control	Trial     2	B2	0:10:00-0:11:00	4.70661	173	16.16	0	0	173	43.84	1.57968	145.132	39.4921	282.397
Control	Trial     2	B2	0:11:00-0:12:00	6.32369	169	20.68	0	0	169	39.24	-1.37203	234.818	-34.3008	378.916
Control	Trial     2	B2	0:12:00-0:13:00	4.71725	64	13.36	0	0	65	46.64	-0.104022	238.958	-2.60054	283.035
Control	Trial     2	B2	0:13:00-0:14:00	3.58938	56	9.44	0	0	56	50.56	-0.0094282	314.206	-0.235705	215.363
Control	Trial     2	B2	0:14:00-0:15:00	1.832	89	5.92	0	0	91	54	-0.353651	-14.4666	-8.84128	109.774
Control	Trial     2	B2	0:15:00-0:16:00	1.11767	11	0.52	0	0	12	59.48	3.94025	367.972	98.5062	67.0602
Control	Trial     2	B2	0:16:00-0:17:00	1.16456	19	1.12	0	0	21	58.8	0.839559	803.581	20.989	69.7802
Control	Trial     2	B2	0:17:00-0:18:00	1.22516	10	0.52	0	0	11	59.48	-4.6239	-300.518	-115.598	73.5098
Control	Trial     2	B2	0:18:00-0:19:00	2.42157	135	9.04	0	0	135	50.96	2.35353	93.1509	58.8381	145.294
Control	Trial     2	B2	0:19:00-0:20:00	3.66105	195	14.4	0	0	196	45.52	0.0398411	174.295	0.996026	219.37
Control	Trial     2	B2	0:20:00-0:21:00	1.52994	65	5	0	0	66	55	-1.43474	-306.012	-35.8684	91.7965
Control	Trial     2	B2	0:21:00-0:22:00	0.613323	0	0	0	0	1	60	-6.83695	-721.578	-170.924	36.7994
Control	Trial     2	B2	0:22:00-0:23:00	0.552209	0	0	0	0	2	59.92	-1.52581	-590.639	-38.1452	33.0884
Control	Trial     2	B2	0:23:00-0:24:00	0.653938	0	0	0	0	1	60	0.134604	-1349.21	3.3651	39.2363
Control	Trial     2	B2	0:24:00-0:25:00	0.795115	0	0	0	0	2	59.92	-0.299019	9.99502	-7.47548	47.6433
Control	Trial     2	B2	0:25:00-0:26:00	0.758237	0	0	0	0	1	60	3.10724	174.984	77.6809	45.4942
Control	Trial     2	B2	0:26:00-0:27:00	0.837067	0	0	0	0	1	60	-3.78821	-263.119	-94.7053	50.224
Control	Trial     2	B2	0:27:00-0:28:00	1.10774	4	0.16	0	0	6	59.76	6.36021	658.271	159.005	66.3758
Control	Trial     2	B2	0:28:00-0:29:00	1.58687	59	3.72	0	0	60	56.28	-0.0564665	5.02302	-1.41166	95.2121
Control	Trial     2	B2	0:29:00-0:30:00	2.08256	127	6.56	0	0	127	53.44	4.55745	352.507	113.936	124.953
Control	Trial     2	B2	0:30:00-0:31:00	3.37437	175	13.2	0	0	177	46.72	1.11468	555.638	27.8671	202.192
Control	Trial     2	B2	0:31:00-0:32:00	5.65832	204	21.84	0	0	205	38.16	-1.82195	23.5514	-45.5486	339.499
Control	Trial     2	B2	0:32:00-0:33:00	6.53637	114	19.44	0	0	116	40.48	1.14936	120.956	28.7341	391.66
Control	Trial     2	B2	0:33:00-0:34:00	2.83299	38	6.48	0	0	39	53.52	3.39671	488.901	84.9178	169.98
Control	Trial     2	B2	0:34:00-0:35:00	4.64616	120	15.28	0	0	121	44.72	-2.04583	-104.204	-51.1457	278.769
Control	Trial     2	B2	0:35:00-0:36:00	0.877903	0	0	0	0	2	59.92	-1.18025	-180.542	-29.5063	52.6039
Control	Trial     2	B2	0:36:00-0:37:00	5.52003	141	17.72	0	0	142	42.28	2.21518	221.722	55.3795	331.202
Control	Trial     2	B2	0:37:00-0:38:00	3.06905	58	8.2	0	0	58	51.8	-1.54523	-40.1569	-38.6307	184.143
Control	Trial     2	B2	0:38:00-0:39:00	4.14418	72	11.2	0	0	72	48.72	3.67947	130.819	91.9868	248.319
Control	Trial     2	B2	0:39:00-0:40:00	3.39395	43	8.8	0	0	44	51.2	7.65117	614.881	191.279	203.637
Control	Trial     2	B2	0:40:00-0:41:00	0.705868	0	0	0	0	2	59.92	-5.40266	-210.852	-135.066	42.2956
